"ID","MODOMICS code","Name","Reference NucleoBase","Short Name","New RNAMods code","Old RNAMods code","Moiety type"
"423","10551G","queuosine-5'-monophospate","Guanosine","pQ","Q","Q","nucleotide"
"424","3470551G","undermodified hydroxywybutosine-5'-monophospate","Guanosine","pOHyWx","š","","nucleotide"
"425","503551U","uridine 5-oxyacetic acid methyl ester-5'-monophospate","Uridine","pmcmo5U","υ","","nucleotide"
"426","34551G","wyosine-5'-monophospate","Guanosine","pimG","€","","nucleotide"
"427","044551C","N4,N4,2'-O-trimethylcytidine-5'-monophospate","Cytidine","pm4,4Cm","β","","nucleotide"
"428","02551G","N2,2'-O-dimethylguanosine-5'-monophospate","Guanosine","pm2Gm","γ","","nucleotide"
"429","022551G","N2,N2,2'-O-trimethylguanosine-5'-monophospate","Guanosine","pm2,2Gm","|","|","nucleotide"
"430","06551A","N6,2'-O-dimethyladenosine-5'-monophospate","Adenosine","pm6Am","χ","χ","nucleotide"
"431","066551A","N6,N6,2'-O-trimethyladenosine-5'-monophospate","Adenosine","pm6,6Am","η","","nucleotide"
"432","60551A","N6-(cis-hydroxyisopentenyl)adenosine-5'-monophospate","Adenosine","pio6A","Ỽ","`","nucleotide"
"433","64551A","N6-acetyladenosine-5'-monophospate","Adenosine","pac6A","⇓","","nucleotide"
"434","67551A","N6-formyladenosine-5'-monophospate","Adenosine","pf6A","Ϩ","","nucleotide"
"435","65551A","N6-glycinylcarbamoyladenosine-5'-monophosphate","Adenosine","pg6A","≡","","nucleotide"
"436","68551A","N6-hydroxymethyladenosine-5'-monophosphate","Adenosine","phm6A","Ϫ","","nucleotide"
"437","63551A","N6-hydroxynorvalylcarbamoyladenosine-5'-monophosphate","Adenosine","phn6A","√","","nucleotide"
"440","27551G","N2,7-dimethylguanosine-5'-monophosphate","Guanosine","pm2,7G","æ","","nucleotide"
"441","227551G","N2,N2,7-trimethylguanosine-5'-monophosphate","Guanosine","pm2,2,7G","∠","","nucleotide"
"442","027551G","N2,7,2'-O-trimethylguanosine-5'-monophosphate","Guanosine","pm2,7Gm","∨","","nucleotide"
"444","551A","adenosine-5'-monophosphate","Adenosine","pA","","A","nucleotide"
